"Agriculture, forestry, and fishing, value added (% of GDP)",Cropland Ratio,CO2 emissions (kg per PPP $ of GDP),Exports of goods and services (% of GDP),GDP per capita (current US$),Rural population (% of total population),Urban population (% of total population),"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",Internet Penetration Ratio,Water Productivity vs. Crop Production Index,Freshwater Withdrawals to Water Productivity Ratio,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Country
3.764530777,0.191489362,0.28611781,28.80921288,8500.180563,12.364,87.636,29.24307355,0.121001261,0.353219876,1.137876289,51.82349124,Lebanon
21.80047244,0.023130536,0.204702864,13.21461341,837.6315379,65.613,34.387,1.149713957,0.02881406,0.013090219,287.7336242,111.6166186,Pakistan
20.0666052,0.42322416,0.127887264,37.33118848,832.4273196,81.635,18.365,2.861577781,0.00263107,0.037076675,8.60253331,91.14782609,Sri Lanka
4.342034128,0.042553374,0.140810297,11.58251268,13200.55817,15.369,84.631,24.48765988,1.926900798,0.261034643,0.052166501,3.419178487,Brazil
34.19266079,0.056396149,0.179146743,25.24648615,725.8544458,63.413,36.587,16.88792611,0.020978124,0.205950318,0.114823479,3.391634981,Togo
22.13115469,0.185852999,0.098289527,40.35921817,1536.619916,47.927,52.073,33.31914686,0.089800267,0.360909303,0.130302981,5.734524847,Ghana
17.86634043,0.588235294,0.191430251,68.9706611,2332.675664,86.95,13.05,58.44418193,0.488602105,0.582055392,0.000837574,0.132242833,Papua New Guinea
38.77500623,0.001827235,0.05503893,13.1805096,472.1784269,83.771,16.229,5.685973594,0.057371722,0.075823091,5.826702436,4.946956769,Niger
19.77196478,0.040149849,0.254395571,14.37547847,850.6669582,72.866,27.134,1.042528204,0.141966295,0.008741642,14.77353597,64.48080222,Tajikistan
3.679867959,0.007399577,0.567595182,86.60379142,17487.80478,32.035,67.965,11.11591244,2.442925814,0.153365238,1.326413455,20.28138528,Estonia
12.6919713,0.37164751,0.078169429,21.32836624,2053.766445,81.758,18.242,4.471520313,0.057843458,0.051897868,5.48335637,90.78541374,Sri Lanka
0.516824849,0.01986755,0.451863827,44.61604832,18626.7595,0,100,152.3993369,0.089205734,3.897681251,0.006561708,2075,Kuwait
46.90233015,0.036448564,0.127894766,14.08523626,255.9726186,63.648,36.352,11.74283442,0.002565305,0.194804818,0.010798074,0.474018692,Sierra Leone
0.695334317,0.011844131,0.243689725,38.11990694,41650.36783,23.229,76.771,90.51813477,0.336256584,0.872884617,0.338091664,44.88167032,Germany
0.826451928,0.140478668,1,60.86998536,28513.16574,6.314,93.686,113.4690385,0.170335874,1.118031712,0.115661011,20.80375084,Puerto Rico
19.86728412,0.027501587,0.195520523,34.01479641,704.6501788,73.484,26.516,0.483466044,0.167769471,0.006889925,35.92668343,72.71789008,Tajikistan
0.803821797,0.147357724,1,57.452582,27944.73389,6.274,93.726,110.451841,0.168395066,1.08010797,0.122441994,21.43782094,Puerto Rico
13.18518553,0.005134667,0.073607048,38.71366558,6435.82655,39.803,60.197,13.84196245,2.441095488,0.143514385,0.14899572,1.835399711,Paraguay
0.647745527,0.016599477,0.059979152,66.96539368,84121.93103,26.151,73.849,438.4447083,0.429229549,4.463450151,0.009619963,6.498855835,Switzerland
0.25111529,0.011503009,0.222720258,169.4891234,119025.0572,11.094,88.906,1178.766409,0.447148859,11.4822366,0.003927835,3.839137645,Luxembourg
3.781795521,0.00179937,0.338394255,41.61025394,1113.868632,73.092,26.908,53.8756641,0.358268811,0.523776629,0.015544608,2.565905097,Lesotho
3.97945679,0.011188516,0.161576489,78.22662823,14367.70942,33.136,66.864,70.56828555,1.410271915,0.809919494,0.049203212,3.870223504,Lithuania
12.71395283,0.006432879,0.084796272,47.59359211,1960.514766,42.367,57.633,17.24276206,0.573584846,0.310233214,0.065674738,1.007776864,Paraguay
1.476474393,0.023017368,0.274645163,46.86721497,36889.23351,40.906,59.094,93.43940419,0.548116035,0.827483211,0.069179496,9.823846366,Austria
9.280709499,0.222516826,0.271004697,46.02851635,3279.10282,34.476,65.524,12.35741568,0.192450736,0.140441137,5.563340419,73.22956606,Tunisia
0.985493768,0.000220604,0.173455631,104.4167329,49054.69743,38.058,61.942,217.8054462,1.152077458,2.554003825,0.00918563,4.717677254,Ireland
21.83948741,0.010709748,0.08802601,10.34854222,516.750328,77.004,22.996,9.405294095,0.013905196,0.20053932,0.695778349,7.820267686,Burkina Faso
24.91451109,0.00748527,0.141413051,28.8839773,667.7177895,67.154,32.846,9.579532609,0.160566909,0.077933067,0.141352766,1.614929506,Mozambique
2.96696273,0.049115275,0.169230555,45.67535453,12071.09096,43.845,56.155,74.23860457,0.929870556,0.766531797,0.024421221,1.519564251,Croatia
6.981708507,0.170414201,0.172555024,26.94666933,3017.307395,34.548,65.452,17.97820998,0.053883901,0.170441885,0.408223457,7.155992237,El Salvador
31.24133151,0.015748031,0.051380161,15.94003,435.9322963,58.636,41.364,26.58161605,0.623618292,0.243711525,0.001934361,0.335648148,Central African Republic
42.26040256,0.350243069,0.130572458,12.84866626,418.902079,61.455,38.545,4.421920533,0.040908521,0.056023319,0.247347276,1.495726496,Guinea-Bissau
6.167184386,0.046143497,0.175565358,15.18078371,3056.64968,17.797,82.203,21.96918679,0.604453212,0.330363711,0.04588817,2.698345154,Brazil
35.81687722,0.00246797,0.075651264,13.29437093,514.5432689,83.65,16.35,6.799476955,0.595785349,0.06140037,6.644582518,6.746113481,Niger
14.00093054,0.00653664,0.189820334,20.27258979,3068.812555,29.877,70.123,16.69346255,5.440032734,0.155955368,0.041212159,1.177001127,Bolivia
46.71272963,0.118478065,0.18953228,1,644.4555767,51.417,48.583,20.21251081,0.057813257,0.202165541,0.003609151,0.264311594,Liberia
3.934895242,0.059364548,0.366577415,35.54302406,8192.322633,46.021,53.979,74.66325703,0.295854742,1.178397365,0.021746243,1.360858794,Croatia
1,0.000635959,0.038564057,18.35370532,392.3557148,65.596,34.404,1.884469769,0.063322312,0.020802183,29.16824009,24.52774059,Somalia
2.145318718,0.257093723,0.268590526,53.45408858,32485.80273,32.594,67.406,98.41691755,0.458817421,0.83460751,0.287630349,30.18042646,Cyprus
1.401871892,0.025290499,0.332036192,61.53163647,14533.72942,27.033,72.967,38.97581685,1.003168459,0.575458687,2.419815499,94.31428571,Oman
1.109350298,0.014998558,0.399543538,71.61195892,23015.07126,2.814,97.186,51.82392819,0.092101898,0.610123949,1.147217809,87.64619165,Belgium
24.19827461,0.018175917,0.224429519,13.33629528,499.2183062,66.82,33.18,0.872630277,0.00638399,0.012106413,362.1980675,106.641157,Pakistan
2.993028146,0.026067665,0.296918579,46.48878717,14181.95018,39.597,60.403,42.99466373,0.536472592,0.408345177,0.461312021,36.79820007,Poland
17.98351399,0.152173913,0.100058123,11.60197094,1313.186095,46.604,53.396,10.42674083,0.058650071,0.106580199,1.069158968,13.38379177,Haiti
7.938754274,0.007696991,0.27651384,23.24587673,5086.627761,9.969,90.031,12.91883927,1.241236791,0.166673194,0.893213798,9.348217078,Argentina
12.04990141,0.157618214,0.217831247,42.71410478,2295.536231,44.187,55.813,13.56349044,0.348887589,0.125902631,0.130685889,4.621268764,Honduras
26.97108697,0.089552239,0.209128303,22.04285312,944.6431712,58.442,41.558,63.83078654,0.023340192,1.064201176,0.019773153,0.975243811,Benin
5.727925913,0.207591934,0.222591781,25.90621048,2273.955503,38.893,61.107,9.394261549,0.010985386,0.097420528,1.341312431,12.28621335,El Salvador
9.769585882,0.005831137,0.286767742,44.09170185,2304.982295,33.126,66.874,12.73057302,3.126032224,0.164925159,0.054041058,1.177001127,Bolivia
1.65472753,0.002286585,0.152544691,54.63049402,58507.50805,12.858,87.142,395.8007108,0.659993374,4.224577978,0.030676212,19.69983775,Denmark
12.3041681,0.029453015,0.250092749,29.6289668,2433.212646,44.254,55.746,6.105578091,0.286182872,0.068295057,7.168684909,60.92737484,Morocco
20.58558722,0.011776332,0.117874321,26.45238564,711.1845439,71.257,28.743,16.27732923,0.107449045,0.170425392,0.402031556,7.820267686,Burkina Faso
1.894231512,0.003094637,0.357591828,30.33193867,52635.17496,18.822,81.178,40.32119682,21.92653509,0.378283111,0.032441254,3.839340886,Canada
3.008360311,0.027393489,0.337853848,44.27827441,13010.75692,39.346,60.654,38.05127027,0.501286949,0.394191135,0.562379484,39.70231914,Poland
56.05780654,0.036832703,0.076841569,13.69445043,386.4338685,61.534,38.466,15.28581155,0.002997967,0.169334348,0.008676347,0.495794393,Sierra Leone
0.746712203,0.103995902,0.269334258,96.66416875,45376.17084,13.211,86.789,165.0987497,0.764426298,1.609934176,9.864803155,1628.666667,United Arab Emirates
3.353697777,0.079389022,0.208496195,60.95034144,9348.514868,13.366,86.634,90.32929203,3.366942432,0.983979216,0.000938976,0.502166065,Gabon
40.63560753,0.076934128,1,19.33967559,862.3190638,46.5,53.5,1.095787709,0.316313702,0.009736873,178.6835289,124.3601389,Syrian Arab Republic
8.044517527,0.00617284,0.383653907,25.1632537,1290.193957,67.166,32.834,5.398923755,0.349949805,0.048045953,5.228256384,32.48803042,Zimbabwe
8.298481514,0.218887637,0.330773958,40.7848346,2292.483168,35.798,64.202,10.41715394,0.080844384,0.203658924,6.462248363,71.70606607,Tunisia
26.87580163,0.151898734,0.184857138,29.63052719,1170.965533,52.139,47.861,109.0754413,0.205657437,0.874562551,0.01157122,0.975243811,Benin
37.37605549,0.051948052,0.197927391,33.2656137,759.8959722,61.454,38.546,21.43672467,0.031409191,0.221225229,0.090458336,3.391634981,Togo
3.037347757,0.146265962,0.321958844,22.52026973,28863.97329,24.801,75.199,27.64834072,0.418603729,0.283166128,0.59988011,19.46125835,Greece
17.82976365,0.152173913,0.096526306,10.97483562,1454.649175,48.556,51.444,10.09972754,0.030173038,0.09696359,1.103776654,13.38379177,Haiti
25.77397074,0.005840568,0.137244138,1,500.5229808,74.246,25.754,1.088254901,0.303929051,0.008942111,39.52741829,54.75701944,Afghanistan
4.392268659,0.081794945,0.288570221,36.54443702,4064.25301,9.744,90.256,44.44484898,0.507007255,0.427642153,2.864270117,96.156828,Jordan
2.452129492,0.002202643,0.125611486,35.78756333,49169.71934,14.483,85.517,82.91500783,5.066283451,0.891750998,0.033814606,7.11406213,Finland
21.61888489,0.05263537,0.402231676,12.55837963,449.9111249,72.082,27.918,1.341656816,0.001819086,0.019826464,32.23958569,64.22874204,India
72.2403877,0.139986935,0.213219014,1,242.4499372,54.639,45.361,11.78952456,0.000994957,0.140284681,0.005931537,0.253369565,Liberia
0.835524637,0.159876225,1,62.67166626,26435.74879,6.175,93.825,104.6276271,0.107969448,0.995789732,0.136904029,22.70596115,Puerto Rico
26.66047791,0.137991941,0.048169313,19.32871935,773.8205575,82.568,17.432,17.71062931,0.044662242,0.136909627,0.362553612,20.1986755,Rwanda
24.03493298,0.163413864,0.050214043,15.27541338,346.7684624,82.575,17.425,34.34421187,0.017564663,0.292166839,0.040702812,4.987953644,Uganda
31.89888687,0.381679389,0.113050308,11.90131645,1414.586689,71.216,28.784,103.6191458,0.020715007,0.983757199,0.008042272,0.833333333,Comoros
37.45676774,0.003640688,0.097872078,22.55548696,818.4303416,60.804,39.196,2.380057909,0.486635171,0.026688247,3.631564299,8.00308642,Mali
2.036335667,0.250849949,0.244888042,61.29659043,27797.45313,32.863,67.137,94.7736109,0.518268155,0.956343198,0.279748975,28.26681247,Cyprus
16.79094236,0.063418949,0.324626416,24.09735726,993.5034125,69.754,30.246,2.050406981,0.010791578,0.02476636,21.58866686,65.73011912,India
3.073204185,0.024462794,0.32210115,26.23255038,8321.859856,23.692,76.308,12.35039859,0.317285825,0.159298318,1.50851867,28.58343211,Mexico
7.077163524,0.012075836,0.287559217,61.01214926,6542.86454,20.517,79.483,44.15929877,1.84128282,0.437047692,0.088449827,4.377059987,Belarus
17.19787406,0.001729107,1.63656403,35.116185,2074.407389,52.692,47.308,0.527691322,0.125172258,0.004237804,3758.398022,143.5600206,Turkmenistan
5.544304066,0.232067511,0.566637599,32.76195131,3683.893363,47.749,52.251,11.12400148,0.025040519,0.105691225,0.991972291,11.03470123,Jamaica
8.583495058,0.044897207,0.695330305,22.5362424,2451.577258,56.352,43.648,33.46591421,0.191175021,0.327487173,0.031901284,2.516600266,Bosnia and Herzegovina
36.96508267,0.094721783,0.258137954,23.2397194,733.5381615,63.492,36.508,20.30311566,0.002252356,0.294034984,0.24092328,8.38,Nigeria
1.936874874,0.029211956,0.304090514,57.02761253,10030.44443,28.173,71.827,38.7173887,0.847301582,0.573590944,2.270666712,87.91428571,Oman
11.82992122,0.000396458,0.169467755,6.442327834,1,70.756,29.244,3.8360403,0.096991425,0.053748638,5.026109121,10.36578341,Eritrea
1.765360762,0.218641468,0.185142772,76.49313137,29417.92188,33.195,66.805,108.2778654,0.647139196,1.22016977,0.273512823,31.57463095,Cyprus
4.651168823,0.049387787,0.162089053,15.24382927,4773.26848,17.166,82.834,23.71268575,0.940650816,0.348050576,0.042990963,2.728605201,Brazil
37.95242609,0.157473493,0.099277759,39.30332512,405.4249676,53.37,46.63,22.21150173,0.017832203,0.342189212,0.162033614,4.753705318,Ghana
32.23501073,0.002189046,0.094675711,16.9790336,548.157849,83.792,16.208,5.98729953,0.078094111,0.071541397,6.932982234,6.198141828,Niger
2.807249908,0.148622176,0.293739949,23.36156903,32127.98319,24.432,75.568,27.33241629,0.444489138,0.276168701,0.61177042,19.62022051,Greece
28.46200731,0.012841988,1.556053792,38.23758635,396.377979,52.429,47.571,0.690543813,0.0326059,0.013585359,455.9761091,147.5480356,Uzbekistan
5.662926018,0.228896104,0.43933305,16.09864228,4307.100827,13.76,86.24,22.76959775,0.0161042,0.246424218,1.113326651,39.48085659,Lebanon
25.07940866,0.013334853,1.205912352,36.51368764,654.2838373,50.979,49.021,0.889786679,0.105116424,0.013617794,339.1158726,141.3950228,Uzbekistan
2.535231182,0.184739258,0.155216272,33.46797623,29513.65118,20.634,79.366,35.05704842,0.819928501,0.370386143,0.842896415,44.79754601,Spain
3.995237682,0.034288926,0.204261512,86.07769684,14234.47158,30.642,69.358,22.0456256,0.617530895,0.258690749,3.950141171,9.02417962,Hungary
0.626600481,0.186602871,1,68.57397147,20988.99233,5.832,94.168,119.8398158,0.051294985,0.874679336,0.114001943,21.65661978,Puerto Rico
23.77378367,0.028469307,0.168144409,9.17009119,1094.430124,73.345,26.655,0.742612119,0.291528428,0.007507958,22.29315943,69.30934893,Tajikistan
1.421776133,0.08,0.330166459,40.92577253,16893.60627,68.571,31.429,65.92447694,0.111512831,0.561298229,1.327276363,87.5,Barbados
0.31623018,0.348837209,0.487696778,83.10720991,22795.44886,11.001,88.999,195.1642885,0.053390996,1.982772412,20.38026542,137.1551724,Bahrain
22.9161876,0.00737137,0.156888311,31.07817138,594.2269178,65.6,34.4,10.82890654,0.190419221,0.112566596,0.13561796,1.751486326,Mozambique
9.601116667,0.187786717,0.246871385,31.1211998,5202.656459,37.149,62.851,8.693506644,0.511248168,0.08809796,0.257820621,6.782352941,Ecuador
25.30930213,0.02461258,0.051891231,1,630.1091541,84.571,15.429,5.195039872,0.007055044,0.07054644,1.618167295,17.50483809,Malawi
0.805660904,0.117713004,1,68.75816467,30627.1634,6.398,93.602,116.6512736,0.17872885,1.154049007,0.105647742,19.53561063,Puerto Rico
1.476561082,0.025440044,0.292388441,60.49726901,17937.97957,25.376,74.624,42.42391512,3.074879047,0.565124752,2.44942706,103.9142857,Oman
1.146817768,0.02372093,0.188697638,45.20741656,48153.32402,42.317,57.683,101.6563132,0.726460428,0.906108505,0.062615169,9.673597679,Austria
4.801043016,0.042893316,0.194733927,12.37171067,3142.235528,18.447,81.553,21.31683428,0.21238648,0.371697198,0.046762119,2.668085106,Brazil
1.599060927,0.020507592,0.124894425,78.2654765,52162.57012,7.764,92.236,97.23062747,0.176314728,0.945087748,0.776597795,16.80356059,Netherlands
10.69888045,0.028910601,0.269179133,27.99589963,2237.576172,44.826,55.174,5.437249933,0.221221388,0.077014872,8.385958395,63.47141554,Morocco
16.85117865,0.032225579,0.178429981,91.00794049,6863.074346,73.214,26.786,5.036276067,20.19904567,0.045959811,0.119028539,3.298401827,Guyana
7.207272012,0.042253521,0.612484219,26.84806892,4846.792101,55.08,44.92,39.56489123,0.450016635,0.389111833,0.027902103,2.602257636,Bosnia and Herzegovina
8.452185377,0.039587242,0.665646638,40.95664027,3389.687613,29.767,70.233,5.821815355,0.255520872,0.064322344,5.262586951,47.55665607,Bulgaria
2.415485153,0.021816998,0.413729872,59.88860758,12589.52971,21.244,78.756,11.16130334,4.850683041,0.111915204,73.21213591,817.1428571,Libya
0.690452377,0.407407407,0.509543491,1,20327.98346,46.587,53.413,80.47713998,0.220666303,0.820860261,0.108791246,20.32648126,Trinidad and Tobago
38.67975495,0.022265188,0.125709437,10.17847427,134.5424863,84.496,15.504,2.988520258,0.002328124,0.070087248,1.945532167,21.69235474,Ethiopia
0.288059552,0.348837209,0.413814493,79.25252192,25415.84662,10.713,89.287,220.7814763,0.051731847,2.30292559,17.56261469,133.7068966,Bahrain
34.93417192,0.219178082,0.039665638,6.800000136,170.7068764,90.136,9.864,8.478882122,0.002262666,0.098248924,0.328379873,10.19286754,Burundi
19.51465654,0.044502618,0.137101818,24.22512022,848.3048269,57.752,42.248,30.95754675,0.136764099,0.282536705,0.062638375,3.391634981,Togo
22.23471099,0.098557927,0.118532127,31.61694021,2504.878279,55.634,44.366,32.57994657,0.07596,0.410999704,0.173218176,9.668217054,Nigeria
0.365514424,0.407407407,0.496529664,1,20011.14827,45.598,54.402,74.44181138,0.128176059,0.717580599,0.112853805,19.50423216,Trinidad and Tobago
1.448634907,0.175724638,0.199777286,29.95495989,37690.47395,7.744,92.256,264.4984991,0.201695952,2.66604676,0.604414268,103.4423259,Israel
1.586595104,0.0625,0.323690152,44.81476633,14173.75138,67.159,32.841,66.91796379,0.083773383,0.322092625,1.307571167,87.5,Barbados
4.892766618,0.211047113,0.273451456,37.141517,5162.032959,13.099,86.901,28.064554,0.039859839,0.305814035,0.919902973,40.20765737,Lebanon
2.070927285,0.001315296,0.292122877,53.84103814,24069.20331,17.48,82.52,27.66789361,3.766302679,0.231646798,32.53244282,900.1041667,Saudi Arabia
7.676156215,0.000257666,0.172844923,33.62080463,5453.570623,50.995,49.005,39.81025895,12.82615026,0.36755848,0.114952749,0.861552567,Namibia
32.71418375,0.003653866,0.081143225,28.08745381,326.9666593,70.194,29.806,1.458689714,0.023177999,0.036213747,5.83087583,7.875406108,Mali
16.45057861,0.167664671,0.084892361,7.02577509,743.9112731,62.749,37.251,8.197830378,0.001103576,0.14173289,1.271214613,12.51140589,Haiti
2.583509751,0.084479371,0.390022804,53.87432789,2478.291944,19.03,80.97,29.50751103,0.201403014,0.410796478,4.556720418,101.5616347,Jordan
1.339181259,0.013627278,0.098504342,142.9648462,749.0816325,23.376,76.624,139.660106,0.014304384,1.774813903,0.045348192,6.333333333,Djibouti
37.3635796,0.015643332,0.041549574,11.62580107,459.7769816,61.096,38.904,32.17241335,0.267369546,0.325664676,0.001598215,0.335648148,Central African Republic
6.905395959,0.021755984,0.67505459,42.9288247,2639.37793,31.498,68.502,6.850058662,0.225169988,0.092356191,3.945917167,19.29696813,Ukraine
3.329080651,0.078950937,0.210832176,57.35740588,9250.081117,12.844,87.156,95.42268892,4.136593168,0.993158711,0.000888856,0.502166065,Gabon
25.10493037,0.076934128,1,7.778017972,993.7398831,47.471,52.529,1.372238551,0.223815876,0.011975203,142.685989,124.3601389,Syrian Arab Republic
1.518255278,0.337167791,0.2398585,82.32565045,11140.19017,40.569,59.431,526.2822589,0.03962963,6.23335614,0.000144702,0.183503244,Equatorial Guinea
33.82489668,0.031651594,0.07446063,14.58368679,309.3104201,84.851,15.149,1.670994815,0.004507728,0.023354225,2.867558315,8.311832662,Nepal
31.73570631,0.00365449,0.077022696,21.71331369,680.6499581,64.8,35.2,2.015736887,0.146104924,0.028366689,4.287927352,8.00308642,Mali
31.49373198,0.024592813,0.32863,95.56267318,1036.019877,71.936,28.064,1.901564504,0.957814325,0.024236101,0.344455393,3.604018265,Guyana
11.52561074,0.035778175,0.147174888,41.35080136,4828.504889,36.781,63.219,4.491272429,0.671667342,0.065537318,9.300245748,57.79705467,Armenia
17.86443807,1.75E-05,0.711861033,50.27799933,1718.914022,33.42,66.58,12.20393632,5.840392777,0.142038365,0.12973956,4.045521292,Mongolia
12.95511863,0.004824315,0.266591759,21.63445508,888.198576,37.217,62.783,9.039650597,0.379397071,0.150135369,0.072840139,1.126490383,Bolivia
6.704774505,0.094594595,0.279273488,51.92639854,2206.27291,33.409,66.591,4.799114458,1.309762469,0.090259817,0.137223689,4.181954244,Suriname
5.826032905,0.021134594,0.283588893,51.03194341,2253.547113,31.181,68.819,1.811542599,0.014409896,0.014334092,86.01372807,77.03338684,Iraq
22.69043084,0.04100895,0.253476634,17.32431457,852.3302296,72.494,27.506,1.077648497,0.135791572,0.008308137,15.50281643,69.94326428,Tajikistan
8.300257256,0.22928845,0.250046929,45.91284777,4233.917158,32.782,67.218,12.93786541,0.576172033,0.129950436,6.114859564,84.26986263,Tunisia
1.437114867,0.034546949,0.109575259,30.24753718,37062.53357,20.083,79.917,93.27844933,0.650510647,1.020887045,0.141704757,23.14278211,France
3.619498686,0.0192108,0.845929268,61.07933564,8914.103557,31.138,68.862,11.4429264,1.655093758,0.215254447,1.087461777,17.11688312,Estonia
2.815817643,0.027027027,0.404742973,40.80264203,5601.467061,29.527,70.473,5.697229755,0.362569239,0.078582479,16.73660302,47.14044944,Iraq
0.689655172,0.438596491,0.234863166,67.85275077,32337.28152,26.108,73.892,142.9137409,0.621689355,1.765675079,0.00757347,3.466465712,Brunei Darussalam
11.86933372,0.027662195,0.269582045,25.34920551,2177.798828,45.356,54.644,5.065995163,0.172496911,0.063891981,9.361267906,66.01545625,Morocco
8.057287535,0.030661075,0.526980726,19.58438005,8094.390375,43.264,56.736,19.5674879,0.36128958,0.193354624,1.09739241,44.11416719,China
4.288330156,0.000586142,0.661138671,44.10966304,12386.69927,43.027,56.973,7.71203026,9.952860077,0.101957037,4.310161153,29.66712899,Kazakhstan
0.628716003,0.100653595,0.267854659,96.92379674,46865.9646,14.625,85.375,134.9146136,0.72660068,1.493740186,12.6998395,1713.393939,United Arab Emirates
1.054101767,0.069144339,0.256534752,17.23554338,39876.3063,10.897,89.103,52.4173974,0.214607654,0.483109653,0.363743959,37.69471264,Japan
3.088461554,0.026460196,0.250300169,31.03670714,10341.50024,21.889,78.111,13.21199236,0.633101664,0.161102211,1.470842725,29.81379507,Mexico
8.850251441,0.013285698,0.674756991,67.88633336,2378.339757,28.113,71.887,19.78670475,0.929240819,0.189292115,0.257481271,5.709294661,Belarus
5.012512803,0.006066467,0.26889681,32.07870923,31252.96256,13.72,86.28,30.04275052,4.452373187,0.342211533,0.051450637,4.119396903,New Zealand
1.670703396,0.024347588,0.284250571,44.61755552,24558.76368,40.066,59.934,87.36781588,0.402072313,0.833741921,0.075064047,9.966841669,Austria
13.32238364,0.005380015,0.267703223,31.13839052,951.9516229,36.289,63.711,9.528509368,0.521877682,0.153561795,0.070145355,1.143481034,Bolivia
6.606412266,0.044048923,0.125528106,14.71713928,5936.261022,19.892,80.108,10.70703491,1.354354776,0.102557806,0.12184372,4.189123876,Colombia
3.283934045,0.005437738,0.212599456,38.26159157,14113.52913,32.1,67.9,140.423222,1.673376246,1.986746208,0.008685163,1.217442546,Latvia
20.62974539,0.000277351,0.174550372,30.19514476,1562.726853,48.911,51.089,4.574146239,4.596885121,0.047444728,73.685882,13.24621733,Mauritania
27.7536355,0.151898734,0.206284425,27.60678807,1049.820303,53.771,46.229,90.52683372,0.145204943,0.869781262,0.013942119,0.975243811,Benin
30.38474275,0.024308362,0.261554217,91.00794049,3609.908515,72.657,27.343,2.188053516,3.590819026,0.031164414,0.28745305,3.460730594,Guyana
3.441068646,0.155979679,0.291067293,28.74257947,21912.99829,22.996,77.004,20.14858044,0.642690365,0.199037641,0.850149736,20.09913008,Greece
1.134567236,0.454545454,0.20271543,69.52530593,16437.42662,28.348,71.652,126.7409018,0.199785892,1.473046278,0.008539887,3.466465712,Brunei Darussalam
2.303493354,0.195986286,0.274303495,27.08416755,18780.12751,42.478,57.522,21.25920123,0.304716247,0.255765174,1.17569337,19.08345336,Portugal
0.761483946,0.4,0.578769229,1,9756.513279,44.845,55.155,54.43048052,0.101849366,0.36233844,0.162095146,20.48367594,Trinidad and Tobago
12.15017021,0.128768844,0.281626773,51.32527669,1713.418134,49.434,50.566,10.84539846,0.132581284,0.118801604,0.163438606,4.621268764,Honduras
3.604870271,0.065545117,1,25.10363821,6106.006792,23.311,76.689,12.31894587,0.151491254,0.138461795,1.348422214,21.78622627,Cuba
3.383800383,0.028047163,0.175436601,39.25755173,9857.007487,19.844,80.156,14.12728498,0.888153663,0.124998098,1.537540399,44.46268418,Mexico
3.475410668,0.011090916,0.214069398,51.64121163,12285.44705,33.223,66.777,17.10548177,0.967950301,0.29707332,0.856114046,16.32299928,Lithuania
10.01115567,0.005857181,0.271925117,41.79565675,1351.035154,34.918,65.082,10.66532261,1.171213402,0.156773815,0.064065346,1.168967009,Bolivia
22.03125506,0.582524272,0.284953988,68.9706611,748.7350734,86.891,13.109,31.26804557,0.119590058,0.4041888,0.001565538,0.132242833,Papua New Guinea
3.241494141,0.025583841,0.274052142,27.15499933,8104.922573,22.48,77.52,12.57387946,0.461088759,0.15348974,1.490262919,28.7484808,Mexico
5.162283547,0.02676399,0.286964605,39.41682921,4430.426242,30.897,69.103,2.541579992,0.034729069,0.0204867,53.00242488,66.59815409,Iraq
0.048865424,0.133333333,0.131848677,228.0376171,33768.44574,0,100,93.54498913,0.009303023,1.155447,3.701845947,346.2891389,Singapore
