CO2 emissions (kg per PPP $ of GDP),GDP per capita (current US$),"Life expectancy at birth, total (years)",Air Temp (Kelvin),Energy Access Ratio,Internet Penetration Ratio,Urbanization Ratio,Water Productivity vs. Crop Production Index,Freshwater Withdrawals to Water Productivity Ratio,Cropland Ratio,Crop production index (2014-2016 = 100),Country
0.118532127,2504.878279,51.357,300.34,0.04293381,0.07596,0.797461984,0.410999704,0.173218176,0.098557927,79.27,Nigeria
0.496529664,20011.14827,71.47,298.99,1,0.128176059,1.193078644,0.717580599,0.112853805,0.407407407,103.74,Trinidad and Tobago
0.199777286,37690.47395,82.40731707,293.61,1,0.201695952,11.91322314,2.66604676,0.604414268,0.175724638,99.21,Israel
0.323690152,14173.75138,74.89,299.73,1.001305642,0.083773383,0.489003708,0.322092625,1.307571167,0.0625,207.76,Barbados
0.273451456,5162.032959,77.08,287.33,0.010224949,0.039859839,6.634170547,0.305814035,0.919902973,0.211047113,91.77,Lebanon
0.292122877,24069.20331,76.461,297.97,1,3.766302679,4.720823799,0.231646798,32.53244282,0.001315296,119.44,Saudi Arabia
0.172844923,5453.570623,62.293,296.21,0.864761905,12.82615026,0.960976566,0.36755848,0.114952749,0.000257666,108.31,Namibia
0.081143225,326.9666593,52.222,302.11,0.061368889,0.023177999,0.424623187,0.036213747,5.83087583,0.003653866,40.28,Mali
0.084892361,743.9112731,58.489,298.14,0.085599116,0.001103576,0.593650895,0.14173289,1.271214613,0.167664671,57.84,Haiti
0.390022804,2478.291944,73.145,291.16,0.999,0.201403014,4.254860746,0.410796478,4.556720418,0.084479371,71.83,Jordan
0.098504342,749.0816325,57.215,299.83,0.084507042,0.014304384,3.277891855,1.774813903,0.045348192,0.013627278,78.69,Djibouti
0.041549574,459.7769816,49.255,300.07,0.06122449,0.267369546,0.636768365,0.325664676,0.001598215,0.015643332,98.79,Central African Republic
0.67505459,2639.37793,69.19,282.99,0.943942488,0.225169988,2.17480475,0.092356191,3.945917167,0.021755984,74.17,Ukraine
0.210832176,9250.081117,64.776,297.69,0.972222222,4.136593168,6.785736531,0.993158711,0.000888856,0.078950937,96.08,Gabon
1,993.7398831,63.827,291.68,1.086261807,0.223815876,1.106549262,0.011975203,142.685989,0.076934128,114.59,Syrian Arab Republic
0.2398585,11140.19017,56.046,296.37,0.322791969,0.03962963,1.464936281,6.23335614,0.000144702,0.337167791,84.43,Equatorial Guinea
0.07446063,309.3104201,65.457,294.43,0.292965804,0.004507728,0.178536493,0.023354225,2.867558315,0.031651594,71.55,Nepal
0.077022696,680.6499581,55.874,301.66,0.037451787,0.146104924,0.543209877,0.028366689,4.287927352,0.00365449,71.06,Mali
0.32863,1036.019877,64.93,299.12,0.587507215,0.957814325,0.390124555,0.024236101,0.344455393,0.024592813,78.46,Guyana
0.147174888,4828.504889,75.439,280.18,0.981,0.671667342,1.71879503,0.065537318,9.300245748,0.035778175,68.53,Armenia
0.711861033,1718.914022,66.766,273.13,0.412247578,5.840392777,1.992220227,0.142038365,0.12973956,1.75E-05,85.92,Mongolia
0.266591759,888.198576,63.306,296.79,1.020362641,0.379397071,1.686944138,0.150135369,0.072840139,0.004824315,60.21,Bolivia
0.279273488,2206.27291,65.531,298.95,0.82781816,1.309762469,1.993205424,0.090259817,0.137223689,0.094594595,53.17,Suriname
0.283588893,2253.547113,63.587,294.57,0.911678702,0.014409896,2.207081235,0.014334092,86.01372807,0.021134594,126.38,Iraq
0.253476634,852.3302296,67.994,285.19,0.847187266,0.135791572,0.379424504,0.008308137,15.50281643,0.04100895,129.71,Tajikistan
0.250046929,4233.917158,75.55,291.22,1.001005025,0.576172033,2.050454518,0.129950436,6.114859564,0.22928845,99.56,Tunisia
0.109575259,37062.53357,82.57317073,285.16,1,0.650510647,3.979335757,1.020887045,0.141704757,0.034546949,91.37,France
0.845929268,8914.103557,71.9097561,278.82,1.000170775,1.655093758,2.211510052,0.215254447,1.087461777,0.0192108,53.16,Estonia
0.404742973,5601.467061,71.514,295.63,0.98998999,0.362569239,2.386730789,0.078582479,16.73660302,0.027027027,72.5,Iraq
0.234863166,32337.28152,74.818,299.19,1,0.621689355,2.830243603,1.765675079,0.00757347,0.438596491,80.94,Brunei Darussalam
0.269582045,2177.798828,68.231,290.01,1.193094629,0.172496911,1.204779963,0.063891981,9.361267906,0.027662195,79.29,Morocco
0.526980726,8094.390375,77.218,285.08,0.731,0.36128958,1.311390533,0.193354624,1.09739241,0.030661075,101.2,China
0.661138671,12386.69927,69.52,278.24,0.922,9.952860077,1.324122063,0.101957037,4.310161153,0.000586142,75.64,Kazakhstan
0.267854659,46865.9646,79.044,300.9,1,0.72660068,5.837606838,1.493740186,12.6998395,0.100653595,90.32,United Arab Emirates
0.256534752,39876.3063,82.58756098,284.18,1,0.214607654,8.176837662,0.483109653,0.363743959,0.069144339,108.5,Japan
0.250300169,10341.50024,74.365,294.88,0.857029824,0.633101664,3.568504728,0.161102211,1.470842725,0.026460196,82.01,Mexico
0.674756991,2378.339757,68.95609756,279.86,1.06252993,0.929240819,2.55707324,0.189292115,0.257481271,0.013285698,104.53,Belarus
0.26889681,31252.96256,80.35121951,284.32,1,4.452373187,6.288629738,0.342211533,0.051450637,0.006066467,87.79,New Zealand
0.284250571,24558.76368,78.57560976,282.47,1,0.402072313,1.495881795,0.833741921,0.075064047,0.024347588,104.79,Austria
0.267703223,951.9516229,64.004,296.35,0.889728355,0.521877682,1.755655984,0.153561795,0.070145355,0.005380015,62.05,Bolivia
0.125528106,5936.261022,76.471,298.14,0.917682927,1.354354776,4.027146592,0.102557806,0.12184372,0.044048923,104.4,Colombia
0.212599456,14113.52913,71.0195122,280.53,1.003484235,1.673376246,2.115264798,1.986746208,0.008685163,0.005437738,70.68,Latvia
0.174550372,1562.726853,64.485,302.83,1.129113924,4.596885121,1.04452986,0.047444728,73.685882,0.000277351,96.41,Mauritania
0.206284425,1049.820303,59.539,300.99,0.132338452,0.145204943,0.859738521,0.869781262,0.013942119,0.151898734,104.08,Benin
0.261554217,3609.908515,66.254,298.86,0.677709246,3.590819026,0.376329879,0.031164414,0.28745305,0.024308362,70.21,Guyana
0.291067293,21912.99829,80.63414634,288.4,1,0.642690365,3.348582362,0.199037641,0.850149736,0.155979679,101.23,Greece
0.20271543,16437.42662,74.276,299.37,1,0.199785892,2.52758572,1.473046278,0.008539887,0.454545454,86.04,Brunei Darussalam
0.274303495,18780.12751,78.07073171,288.66,1,0.304716247,1.3541598,0.255765174,1.17569337,0.195986286,83.12,Portugal
0.578769229,9756.513279,71.076,299.08,1.03256529,0.101849366,1.229902999,0.36233844,0.162095146,0.4,150.22,Trinidad and Tobago
0.281626773,1713.418134,70.441,295.68,0.531435183,0.132581284,1.022899219,0.118801604,0.163438606,0.128768844,91.29,Honduras
1,6106.006792,77.76,298.59,0.922237609,0.151491254,3.289820257,0.138461795,1.348422214,0.065545117,88.97,Cuba
0.175436601,9857.007487,74.015,294.82,0.850251256,0.888153663,4.039306591,0.124998098,1.537540399,0.028047163,113.02,Mexico
0.214069398,12285.44705,70.9,280.97,1.006076202,0.967950301,2.009962977,0.29707332,0.856114046,0.011090916,57.58,Lithuania
0.271925117,1351.035154,65.027,296.39,0.89200427,1.171213402,1.863852454,0.156773815,0.064065346,0.005857181,68.03,Bolivia
0.284953988,748.7350734,61.801,295.79,0.446166088,0.119590058,0.150867178,0.4041888,0.001565538,0.582524272,77.36,Papua New Guinea
0.274052142,8104.922573,74.119,294.9,0.864728059,0.461088759,3.448398577,0.15348974,1.490262919,0.025583841,81.92,Mexico
0.286964605,4430.426242,67.062,296.36,0.966837166,0.034729069,2.236560184,0.0204867,53.00242488,0.02676399,124.06,Iraq
0.131848677,33768.44574,80.14146341,299.69,1,0.009303023,inf,1.155447,3.701845947,0.133333333,80.96,Singapore
0.039594595,128.5384225,52.01,293.17,0.081293238,0.001258883,0.100582208,0.072885593,0.365417782,0.205627706,105.13,Burundi
0.214771045,7176.857658,69.505,299.33,0.912937201,9.059773662,1.977253781,0.085753936,0.085169346,0.062189055,85.18,Suriname
0.12709162,408.3606087,54.508,294.21,0.123180624,0.011092424,0.253745565,0.313753894,0.41782981,0.015313536,66.82,Kenya
0.146909325,387.4757245,51.249,296.43,0.224550523,0.027129737,0.424866775,0.080401481,0.147223557,0.006521227,87.89,Mozambique
0.405609924,4454.526764,73.796,298.92,0.994216191,0.464431918,1.839295855,0.35937453,0.034393717,0.826981664,80.31,Malaysia
0.153094109,2597.963585,52.369,294.9,1.405617795,0.092749651,1.312887409,1.396190306,0.006421928,0.005766353,53.18,Angola
0.087278766,87304.33058,82.79756098,281.37,1,0.421766041,2.798526172,4.208657809,0.010975236,0.016133144,92.17,Switzerland
0.081783556,299.4121752,51.284,301.77,0.074074074,0.019581631,0.409940078,0.032416725,5.963364679,0.003437389,43.82,Mali
0.328545597,1096.636136,66.513,299.35,0.453333333,0.012440531,0.440652327,0.027540864,20.2477985,0.065530799,79.84,India
0.136630382,1,67.133,298.08,0.215985665,0.482683099,0.704942629,0.038907119,5.335457529,0.000263435,100.13,Eritrea
0.213501249,47410.56693,80.58536585,284.31,1,0.223871315,42.44048653,0.852188776,0.488312487,0.016246163,101.77,Belgium
0.134651255,1027.965474,68.91,294.65,0.353248153,0.123597642,0.239710404,0.026543057,1.706765725,0.051443824,105.77,Nepal
0.114060531,1,64.402,297.8,0.206300953,0.026425703,0.556929113,0.038921281,5.369444706,0.000263435,99.46,Eritrea
0.549082515,4435.571475,71.199,298.23,0.940333551,0.066035112,1.12756904,0.101593747,1.099241295,0.235546039,108.62,Jamaica
0.17052332,1550.361845,67.946,297.26,0.541140107,0.015690071,0.840535964,0.294296897,0.142379418,0.125203404,53.05,Guatemala
0.369214991,4630.009214,76.273,286.92,0.010082315,0.022341421,6.477753683,0.317654142,0.798767787,0.216385911,89.99,Lebanon
0.36171409,13882.86651,78.69268293,284.36,1,3.61265088,6.194244604,0.46309186,0.033042287,0.003567259,72.85,New Zealand
0.168865525,4614.89218,61.682,297.38,0.897384306,10.99680263,0.921635696,0.419081629,0.113771896,0.000257666,95.98,Namibia
0.310319157,1434.017978,67.887,298.64,0.500625782,0.025894657,0.462715385,0.027505809,17.00942914,0.071252825,95.71,India
0.246549181,30681.43744,74.75,299.54,1,0.890344227,3.285040922,1.432249694,0.007701022,0.447761194,98.13,Brunei Darussalam
0.068230663,840.4496034,65.838,291.87,0.129038653,0.159734919,0.269438274,0.078607105,1.017388295,0.052317977,108.11,Ethiopia
0.322495363,27751.06547,79.85121951,284.7,1,3.994982732,6.321180174,0.396032197,0.045683764,0.005379098,78.69,New Zealand
0.100034704,240.7051592,63.336,294.07,0.280487805,0.00137867,0.162074535,0.023616342,3.268413131,0.027706034,62.42,Nepal
0.217442399,3471.006951,67.748,296.27,0.922413793,4.133330792,2.270645953,0.165741366,0.038444816,0.006547035,107.97,Bolivia
0.120224878,1510.797323,64.068,297.05,0.115207443,0.03854703,0.411711559,1.020586335,0.007625365,0.381679389,107.08,Comoros
0.215903938,688.18748,58.231,300.6,0.989130435,0.019032869,0.683700099,0.120649008,1.752646048,0.005714286,40.71,Senegal
